KLambda W: 1.925 Ebeam: 12
Q2 	 CS
6.87	0.0594439
6.88	0.0591599
6.89	0.0588762
6.9	0.0585928
6.91	0.058332
6.92	0.0580715
6.93	0.0578112
6.94	0.0575513
6.95	0.0572916
6.96	0.0570347
6.97	0.0567782
6.98	0.0565219
6.99	0.0562658
7	0.0560101
7.01	0.0557521
7.02	0.0554943
7.03	0.0552368
7.04	0.0549796
7.05	0.0547226
7.06	0.054475
7.07	0.0542276
7.08	0.0539805
7.09	0.0537336
7.1	0.053487
7.11	0.053242
7.12	0.0529973
7.13	0.0527528
7.14	0.0525086
7.15	0.0522646
7.16	0.0520298
7.17	0.0517953
7.18	0.051561
7.19	0.0513269
7.2	0.051093
7.21	0.0508698
7.22	0.0506469
7.23	0.0504242
7.24	0.0502018
7.25	0.0499796
7.26	0.0497434
7.27	0.0495074
7.28	0.0492717
7.29	0.0490362
7.3	0.048801
7.31	0.0485953
7.32	0.0483898
7.33	0.0481845
7.34	0.0479795
7.35	0.0477746
7.36	0.0475598
7.37	0.0473453
7.38	0.047131
7.39	0.0469169
7.4	0.046703
7.41	0.0464843
7.42	0.0462659
7.43	0.0460476
7.44	0.0458296
7.45	0.0456118
7.46	0.0454198
7.47	0.0452279
7.48	0.0450363
7.49	0.0448448
7.5	0.0446536
7.51	0.0444568
7.52	0.0442601
7.53	0.0440637
7.54	0.0438674
7.55	0.0436712
7.56	0.043486
7.57	0.0433009
7.58	0.043116
7.59	0.0429313
7.6	0.0427467
7.61	0.0425575
7.62	0.0423684
7.63	0.0421795
7.64	0.0419908
7.65	0.0418023
7.66	0.0416139
7.67	0.0414257
7.68	0.0412378
7.69	0.0410499
7.7	0.0408623
7.71	0.0406957
7.72	0.0405293
7.73	0.040363
7.74	0.0401968
7.75	0.0400308
7.76	0.0398634
7.77	0.0396962
7.78	0.039529
7.79	0.039362
7.8	0.0391952
7.81	0.0390156
7.82	0.0388362
7.83	0.0386569
7.84	0.0384778
7.85	0.0382989
7.86	0.0381375
7.87	0.0379763
7.88	0.0378152
7.89	0.0376542
7.9	0.0374934
7.91	0.0373343
7.92	0.0371754
7.93	0.0370166
7.94	0.0368579
7.95	0.0366994
7.96	0.0365363
7.97	0.0363734
7.98	0.0362105
7.99	0.0360478
8	0.0358852
8.01	0.0357463
8.02	0.0356075
8.03	0.0354688
8.04	0.0353302
8.05	0.0351917
8.06	0.0350346
8.07	0.0348777
8.08	0.0347209
8.09	0.0345642
8.1	0.0344077
8.11	0.0342764
8.12	0.0341452
8.13	0.0340141
8.14	0.0338832
8.15	0.0337524
8.16	0.0336013
8.17	0.0334503
8.18	0.0332994
8.19	0.0331486
8.2	0.032998
8.21	0.0328629
8.22	0.032728
8.23	0.0325931
8.24	0.0324583
8.25	0.0323237
8.26	0.0321925
8.27	0.0320613
8.28	0.0319303
8.29	0.0317995
8.3	0.0316687
8.31	0.0315346
8.32	0.0314006
8.33	0.0312668
8.34	0.031133
8.35	0.0309993
8.36	0.0308708
8.37	0.0307425
8.38	0.0306142
8.39	0.0304861
8.4	0.0303581
8.41	0.0302347
8.42	0.0301113
8.43	0.0299881
8.44	0.029865
8.45	0.029742
8.46	0.0296146
8.47	0.0294873
8.48	0.0293601
8.49	0.0292331
8.5	0.0291061
8.51	0.0289971
8.52	0.0288881
8.53	0.0287792
8.54	0.0286704
8.55	0.0285616
8.56	0.0284352
8.57	0.0283088
8.58	0.0281826
8.59	0.0280565
8.6	0.0279304
8.61	0.0278222
8.62	0.027714
8.63	0.0276058
8.64	0.0274977
8.65	0.0273897
8.66	0.0272835
8.67	0.0271775
8.68	0.0270714
8.69	0.0269655
8.7	0.0268596
8.71	0.0267575
8.72	0.0266554
8.73	0.0265534
8.74	0.0264515
8.75	0.0263497
8.76	0.0262312
8.77	0.0261128
8.78	0.0259945
8.79	0.0258763
8.8	0.0257582
8.81	0.0256588
8.82	0.0255594
8.83	0.0254601
8.84	0.0253609
8.85	0.0252618
8.86	0.0251609
8.87	0.02506
8.88	0.0249593
8.89	0.0248586
8.9	0.024758
8.91	0.0246664
8.92	0.0245749
8.93	0.0244835
8.94	0.0243921
8.95	0.0243007
8.96	0.0242066
8.97	0.0241125
8.98	0.0240186
8.99	0.0239247
9	0.0238309
9.01	0.0237329
9.02	0.023635
9.03	0.0235372
9.04	0.0234394
9.05	0.0233417
9.06	0.0232568
9.07	0.0231718
9.08	0.023087
9.09	0.0230022
9.1	0.0229174
9.11	0.0228243
9.12	0.0227313
9.13	0.0226383
9.14	0.0225454
9.15	0.0224526
9.16	0.0223723
9.17	0.0222921
9.18	0.0222119
9.19	0.0221317
9.2	0.0220516
9.21	0.021955
9.22	0.0218584
9.23	0.0217619
9.24	0.0216654
9.25	0.0215691
9.26	0.0214913
9.27	0.0214136
9.28	0.0213359
9.29	0.0212582
9.3	0.0211806
9.31	0.021101
9.32	0.0210214
9.33	0.0209419
9.34	0.0208623
9.35	0.0207829
9.36	0.0206974
9.37	0.020612
9.38	0.0205267
9.39	0.0204415
9.4	0.0203564
9.41	0.0202793
9.42	0.0202023
9.43	0.0201253
9.44	0.0200483
9.45	0.0199714
9.46	0.0198988
9.47	0.0198262
9.48	0.0197536
9.49	0.0196811
9.5	0.0196087
9.51	0.019532
9.52	0.0194554
9.53	0.0193788
9.54	0.0193023
9.55	0.0192258
9.56	0.0191536
9.57	0.0190815
9.58	0.0190094
9.59	0.0189374
9.6	0.0188655
9.61	0.0187892
9.62	0.018713
9.63	0.0186368
9.64	0.0185607
9.65	0.0184846
9.66	0.0184308
9.67	0.0183771
9.68	0.0183234
9.69	0.0182697
9.7	0.0182161
9.71	0.0181467
9.72	0.0180775
9.73	0.0180083
9.74	0.0179391
9.75	0.01787
9.76	0.017801
9.77	0.017732
9.78	0.0176631
9.79	0.0175943
9.8	0.0175254
9.81	0.0174632
9.82	0.017401
9.83	0.0173387
9.84	0.0172764
9.85	0.0172141
9.86	0.0171455
9.87	0.0170769
9.88	0.0170084
9.89	0.0169399
9.9	0.0168714
9.91	0.0168069
9.92	0.0167424
9.93	0.0166779
9.94	0.0166135
9.95	0.0165492
9.96	0.0164924
9.97	0.0164358
9.98	0.0163791
9.99	0.0163225
10	0.0162659
10.01	0.0162131
10.02	0.0161603
10.03	0.0161076
10.04	0.0160548
10.05	0.0160021
10.06	0.0159381
10.07	0.0158741
10.08	0.0158102
10.09	0.0157463
10.1	0.0156825
10.11	0.0156286
10.12	0.0155746
10.13	0.0155208
10.14	0.0154669
10.15	0.0154131
10.16	0.0153607
10.17	0.0153082
10.18	0.0152558
10.19	0.0152034
10.2	0.015151
10.21	0.0150948
10.22	0.0150386
10.23	0.0149825
10.24	0.0149264
10.25	0.0148704
10.26	0.0148182
10.27	0.0147661
10.28	0.0147139
10.29	0.0146618
10.3	0.0146097
10.31	0.01456
10.32	0.0145104
10.33	0.0144607
10.34	0.0144111
10.35	0.0143616
10.36	0.0143095
10.37	0.0142575
10.38	0.0142055
10.39	0.0141535
10.4	0.0141015
10.41	0.014057
10.42	0.0140126
10.43	0.0139682
10.44	0.0139238
10.45	0.0138794
10.46	0.0138301
10.47	0.0137808
10.48	0.0137315
10.49	0.0136822
10.5	0.0136329
